store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Herberger's Rock Springs,1871,,,Rock Springs,WY,82901,United States,(307) 382-5360,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-18:00,,0
Younkers Okemos,1999,,,Okemos,MI,48864,United States,(517) 381-5092,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Carson's Monroe,1779,,,Monroe,MI,48162,United States,(734) 241-0411,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 12:00-17:00,,0
Younkers Muskegon,1967,,,Muskegon,MI,49444,United States,(231) 799-6300,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Younkers Midland,1783,,,Midland,MI,48642,United States,(989) 631-4444,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 12:00-18:00,,0
Younkers Marquette,1973,,,Marquette,MI,49855,United States,(906) 228-6011,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Younkers Lansing,1977,,,Lansing,MI,48917,United States,(517) 327-3055,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Carson's Livonia,2113,,,Livonia,MI,48152,United States,(734) 953-7500,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Younkers Jackson,1785,,,Jackson,MI,49202,United States,(517) 787-4000,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 12:00-18:00,,0
Carson's Howell,1773,,,Howell,MI,48843,United States,(517) 552-1300,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Younkers Holland,1997,,,Holland,MI,49424,United States,(616) 396-7740,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 12:00-18:00,,0
Younkers Grandville,1971,,,Grandville,MI,49418,United States,(616) 257-5900,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Carson's Fort Gratiot Township,2001,,,Fort Gratiot Township,MI,48059,United States,(810) 385-3300,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Younkers Coldwater,1755,,,Coldwater,MI,49036,United States,(517) 279-9922,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-18:00,,0
Carson's Benton Harbor,1781,,,Benton Harbor,MI,49022,United States,(269) 925-6500,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Carson's Clinton Township,2117,,,Clinton Township,MI,48038,United States,(586) 226-0621,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Elder-Beerman Adrian,1777,,,Adrian,MI,49221,United States,(517) 263-3313,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-18:00,,0
Younkers Bay City,2007,,,Bay City,MI,48706,United States,(989) 667-0626,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton Westfield,1671,,,Westfield,MA,01085,United States,(413) 562-8789,,,Mo 10:00-21:30; Tu 10:00-21:30; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Herberger's Scottsbluff,1889,,,Scottsbluff,NE,69361,United States,(308) 635-7600,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-19:00; Su 12:00-18:00,,0
Younkers Omaha,1947,,,Omaha,NE,68114,United States,(402) 397-3800,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Younkers Omaha,1929,,,Omaha,NE,68144,United States,(402) 691-2300,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Herberger's North Platte,1885,,,North Platte,NE,69101,United States,(308) 534-3910,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-18:00,,0
Herberger's Norfolk,1881,,,Norfolk,NE,68701-4540,United States,(402) 371-7323,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-20:00; Su 11:00-18:00,,0
Herberger's Kearney,1887,,,Kearney,NE,68847,United States,(308) 338-3000,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-19:00,,0
Younkers Lincoln,1979,,,Lincoln,NE,68505,United States,(402) 467-0300,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Herberger's Hastings,1883,,,Hastings,NE,68901,United States,(402) 462-2168,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-19:00; Su 12:00-18:00,,0
Younkers Grand Island,1985,,,Grand Island,NE,68803,United States,(308) 384-4000,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-18:00,,0
Bon-Ton Phillipsburg,1701,,,Phillipsburg,NJ,08865,United States,(908) 454-8183,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton Olean,1687,,,Olean,NY,14760,United States,(716) 373-3120,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-17:00,,0
Bon-Ton Brick,1629,,,Brick,NJ,08723,United States,(732) 262-1942,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 12:00-18:00,,0
Bon-Ton Niagara Falls,1689,,,Niagara Falls,NY,14304,United States,(716) 297-9500,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-17:00,,0
Bon-Ton Newburgh,1661,,,Newburgh,NY,12550,United States,(845) 566-8200,,,Mo 10:00-21:30; Tu 10:00-21:30; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton Lockport,1685,,,Lockport,NY,14094,United States,(716) 434-6692,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-17:00,,0
Bon-Ton Massena,1711,,,Massena,NY,13662,United States,(315) 764-5006,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton Lakewood,1667,,,Lakewood,NY,14750,United States,(716) 763-5676,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton Johnson City,1633,,,Johnson City,NY,13790,United States,(607) 798-7131,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Bon-Ton Ithaca,1663,,,Ithaca,NY,14850,United States,(607) 257-5333,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton Horseheads,1709,,,Horseheads,NY,14845,United States,(607) 796-2005,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton Camillus,1713,,,Camillus,NY,13031,United States,(315) 484-9124,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-17:00,,0
Bon-Ton Buffalo,1679,,,Buffalo,NY,14223,United States,(716) 877-4020,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-17:00,,0
Bon-Ton Blasdell,1683,,,Blasdell,NY,14219,United States,(716) 827-4020,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Herberger's Logan,1857,,,Logan,UT,84341,United States,(435) 753-7519,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-17:00,,0
Boston Store West Bend,1753,,,West Bend,WI,53095,United States,(262) 335-9390,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Boston Store Wauwatosa,2053,,,Wauwatosa,WI,53226,United States,(414) 453-7500,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Younkers Superior,2005,,,Superior,WI,54880,United States,(715) 392-7121,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-18:00; Su 11:00-17:00,,0
Boston Store Racine,2045,,,Racine,WI,53406,United States,(262) 553-9655,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Herberger's Rice Lake,1837,,,Rice Lake,WI,54868,United States,(715) 234-7031,,,Mo 10:00-20:00; Tu 10:00-20:00; We 10:00-20:00; Th 10:00-20:00; Fr 09:00-20:00; Sa 09:00-18:00; Su 11:00-17:00,,0
Boston Store Sheboygan Falls,1749,,,Sheboygan Falls,WI,53085,United States,(920) 459-4826,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Younkers Plover,1747,,,Plover,WI,54467,United States,(715) 344-6942,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Younkers Sturgeon Bay,1969,,,Sturgeon Bay,WI,54235,United States,(920) 743-5533,,,Mo 09:30-19:00; Tu 09:30-19:00; We 09:30-19:00; Th 09:30-19:00; Fr 09:00-19:00; Sa 09:00-19:00; Su 11:00-17:00,,0
Younkers Wausau,1987,,,Wausau,WI,54403,United States,(715) 845-9611,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Younkers Manitowoc,1993,,,Manitowoc,WI,54220,United States,(920) 684-0331,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-19:00; Su 12:00-17:00,,0
Boston Store Madison,2055,,,Madison,WI,53719,United States,(608) 833-9799,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Boston Store Madison,2051,,,Madison,WI,53704,United States,(608) 241-2111,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Boston Store Greendale,2049,,,Greendale,WI,53129,United States,(414) 423-0800,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Boston Store Milwaukee,2041,,,Milwaukee,WI,53203,United States,(414) 347-4141,,,Mo 10:00-19:00; Tu 10:00-19:00; We 10:00-19:00; Th 10:00-19:00; Fr 09:00-19:00; Sa 09:00-18:00; Su 12:00-17:00,,0
Boston Store Clearance Center Milwaukee,2123,,,Milwaukee,WI,53221,United States,(414) 282-8079,,,Mo 09:00-21:00; Tu 09:00-21:00; We 09:00-21:00; Th 09:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 11:00-19:00,,0
Herberger's La Crosse,1849,,,La Crosse,WI,54601,United States,(608) 781-8300,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Younkers Marshfield,1981,,,Marshfield,WI,54449,United States,(715) 387-8611,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-21:00; Su 11:00-17:00,,0
Boston Store Janesville,2025,,,Janesville,WI,53545,United States,(608) 754-3361,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Younkers Marinette,2003,,,Marinette,WI,54143,United States,(715) 732-3720,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-19:00; Su 11:00-17:00,,0
Boston Store Glendale,2043,,,Glendale,WI,53217,United States,(414) 962-6006,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
