store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
VIP Milford NH Store,,48 Jones Rd,,Milford,NH,03055,United States,(603) 672-7520,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Norway Maine Store,,85 Main St.,,Norway,ME,04268,United States,(207) 743-5192,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Old Town Maine Store,,947 Stillwater Ave,,Old Town,ME,04468,United States,(207) 827-7012,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Portsmouth NH Store,,2179 Lafayette Rd.,,Portsmouth,NH,03801,United States,(603) 431-1125,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Presque Isle Maine Store,,"Aroostook Centre Mall, 755 Main St.",,Presque Isle,ME,04769,United States,(207) 764-3181,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Rockland Maine Store,,137 Camden St,,Rockland,ME,04841,United States,(207) 596-0889,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Sanford Maine Store,,1238 Main St.,,Sanford,ME,04073,United States,(207) 324-1117,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Skowhegan Maine Store,,9 East Madison Rd,,Skowhegan,ME,04976,United States,(207) 474-9159,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Somersworth NH Store,,6 Waltons Way,,Somersworth,NH,03878,United States,(603) 692-5550,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP South Portland Maine Store,,207 Waterman Dr.,,South Portland,ME,04106,United States,(207) 767-8133,,,Monday 7:30 AM to 6:00 PM; Saturday 7:30 AM to 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Tilton NH Store,,117 Laconia Road,,Tilton,NH,03276,United States,(603) 286-7557,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Watertown MA Store,,275 Arsenal St,,Watertown,MA,02472,United States,(617) 924-8700,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 4:00 PM; Sunday - Closed,,0
