store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Mall St. Matthews,1630,"5000 Shelbyville Rd, Ste 1100",,Louisville,KY,40207,US,(502) 896-6459,38.250459,-85.6246068,Sun:11:00AM -  6:00PM; ,,0
The Shops at Charleston Place,1631,"203 Meeting St, Ste B-114",,Charleston,SC,29401,US,(843) 937-8218,32.7811874,-79.9318355,Mon - Fri:10:00AM -  9:00PM; ,,0
The Mall at Short Hills,1632,"1200 Morris Turnpike, Ste A-123",,Short Hills,NJ,07078,US,(973) 258-9392,40.7396366,-74.3656369,Mon - Fri:10:00AM -  8:00PM; ,,0
Briarwood Mall,1691,402 Briarwood Circle,,Ann Arbor,MI,48108,US,(734) 332-6176,42.2424706,-83.744419,Sun:11:00AM -  6:00PM; ,,0
Town Center Plaza,1761,5032 W 119th St,,Leawood,KS,66209,US,(913) 498-8284,38.9130419,-94.6433916,Sun:12:00PM -  6:00PM; ,,0
Rice Village,1762,5515 Kelvin Street,,Houston,TX,77005,US,(713) 527-8220,29.7163235,-95.4162996,Sun:12:00PM -  6:00PM; ,,0
The Falls,1763,"8888 SW 136th Street, Ste 275",,Miami,FL,33176,US,(305) 259-0047,25.6443479,-80.3385326,Sun:12:00PM -  7:00PM; ,,0
Polaris Fashion Place,1764,"1500 Polaris Pkwy, Suite 2236",,Columbus,OH,43240,US,(614) 846-4706,40.1456984,-82.9812948,Mon - Thu:10:00AM -  9:30PM; ,,0
Somerset Collection North,1765,"2800 W Big Beaver Rd, Sp M 136",,Troy,MI,48084,US,(248) 816-1669,42.563202,-83.184024,Sun:12:00PM -  6:00PM; ,,0
River Road II,1919,5027 Huguenot Road,,Richmond,VA,23226,US,(804) 288-6966,37.5672372,-77.5376561,Sun:12:00PM -  6:00PM; ,,0
Tanger Outlet Center Lancaster,1920,803 Stanley K Tanger Blvd.,,Lancaster,PA,17602,US,(717) 394-4896,40.0262829,-76.2205783,Sun:10:00AM -  7:00PM; ,,0
Legends Outlets Kansas City,1921,"1803 Village West Parkwa, Ste. M133",,Kansas City,KS,66111,US,(913) 788-7658,39.1259232,-94.8251806,Sun:11:00AM -  6:00PM; ,,0
Tanger Outlet Center Locust Grove,1922,"1000 Tanger Drive, Suite 313",,Locust Grove,GA,30248,US,(770) 898-1845,33.3479013,-84.1220665,Sun:10:00AM -  7:00PM; ,,0
Country Club Plaza,1924,"4705 Broadway, Space 4705",,Kansas City,MO,64112,US,(816) 931-3777,39.0418142,-94.591385,Mon - Wed:10:00AM -  9:00PM; ,,0
Phipps Plaza,1925,"3500 Peachtree Road NE, Ste. A22",,Atlanta,GA,30326,US,(404) 233-0603,33.8531473,-84.3602263,Sun:12:00PM -  6:00PM; ,,0
Fashion Show,1926,"3200 Las Vegas Boulevar, Space 1175",,Las Vegas,NV,89109,US,(702) 791-3661,36.1272241,-115.1715512,Sun:11:00AM -  7:00PM; ,,0
Orlando Premium Outlets,1927,"4957 International Drive, Ste 1D-27",,Orlando,FL,32819,US,(407) 363-1796,28.4743536,-81.4513887,Mon - Thu:9:00AM - 11:00PM; ,,0
Pearland Town Center,1928,"11200 Broadway Street, Suite 720",,Pearland,TX,77584,US,(713) 340-1368,29.552049,-95.3937011,Sun:12:00PM -  6:00PM; ,,0
The Market Common Myrtle Beach,1929,4000 Howard Avenue,,Myrtle Beach,SC,29577,US,(843) 238-3620,33.6697749,-78.9392825,Mon - Thu:10:00AM -  9:00PM; ,,0
Pier Park,1930,"200 Bluefish Dr., Ste 100",,Panama City Beach,FL,32413,US,(850) 235-9848,30.220339,-85.8702066,Sun:12:00PM -  7:00PM; ,,0
The Forum at Carlsbad,1931,"1925 Calle Barcelona, Ste 161",,Carlsbad,CA,92009,US,(760) 635-1034,33.0720678,-117.2660381,Sun:11:00AM -  6:00PM; ,,0
Columbia Mall (Missouri),1932,"2300 Bernadette Drive, Ste 110",,Columbia,MO,65203,US,(573) 447-3516,38.9638389,-92.3753894,Sun:11:00AM -  6:00PM; ,,0
Paducah Center,1933,2929 James Sanders Blvd,,Paducah,KY,42001,US,(270) 538-5341,37.0752379,-88.6857228,Sun:12:00PM -  6:00PM; ,,0
The Pines,1934,"2020 Scottsville Road, Ste 104",,Bowling Green,KY,42104,US,(270) 846-3584,36.9592197,-86.4278816,Sun:12:00PM -  6:00PM; ,,0
Central Texas Marketplace,1935,"2444 West Loop 340, Ste 13",,Waco,TX,76711,US,(254) 662-1318,31.5030651,-97.1752736,Sun:12:00PM -  6:00PM; ,,0
Issaquah Commons,1936,"775 NW Gilman Blvd, Ste C13",,Issaquah,WA,98027,US,(425) 369-8481,47.5432434,-122.0498577,Sun:11:00AM -  6:00PM; ,,0
The Galleria at 41st Street,1937,3308 S Louise Avenue,,Sioux Falls,SD,57106,US,(605) 362-6224,43.5142939,-96.7704898,Mon - Fri:10:00AM -  7:00PM; ,,0
Gateway Station,1938,"1501 University Dr E, Ste 400",,College Station,TX,77840,US,(979) 268-2095,30.6383547,-96.3162708,Sun:12:00PM -  6:00PM; ,,0
Montgomery Village Shopping Center,1940,713 Village Court,,Santa Rosa,CA,95405,US,(707) 522-1379,38.4438516,-122.6864554,Sun:11:00AM -  6:00PM; ,,0
Kittery Premium Outlets,1942,"375 US Route 1, Ste 100A",,Kittery,ME,03904,US,(207) 439-0716,43.117668,-70.7272064,Sun:10:00AM -  6:00PM; ,,0
Tanger Outlet Center Gonzales,1943,"2200 Tanger Blvd, Suite 117",,Gonzales,LA,70737,US,(225) 644-8350,30.2133036,-90.9532721,Sun:10:00AM -  7:00PM; ,,0
Stonebridge at Potomac Town Center,1944,"15001 Potomac Town Place, Suite 140",,Woodbridge,VA,22191,US,(703) 580-1954,38.6291031,-77.2875744,Sun:12:00PM -  6:00PM; ,,0
The Forum Shops of Roanoke,1945,4714-B Starkey Road,,Roanoke,VA,24018,US,(540) 206-2381,37.2215119,-79.985538,Sun:12:00PM -  6:00PM; ,,0
Tanger Outlet Center Myrtle Beac,1946,"4633 Factory Stores Blvd, Ste C110",,Myrtle Beach,SC,29579,US,(843) 236-6183,33.7513141,-78.9590606,Sun:10:00AM -  7:00PM; ,,0
Tanger Outlet Center at The Arches,1947,"112 The Arches Cir, Ste 112",,Deer Park,NY,11729,US,(631) 586-0249,40.7630932,-73.3054437,Sun:10:00AM -  8:00PM; ,,0
Tanger Outlets Shoppes on the Parkw,1948,"200 Shoppes on the Parkway, Ste 49",,Blowing Rock,NC,28605,US,(828) 295-7361,36.1417972,-81.6716962,Sun:10:00AM -  7:00PM; ,,0
East Front Street,1949,225 East Front Street,,Traverse City,MI,49686,US,(231) 922-9067,44.7643268,-85.6197561,Sun:11:00AM -  4:00PM; ,,0
Carolina Premium Outlets,1950,"1025 Outlet Center Dr, Suite 20",,Smithfield,NC,27577,US,(919) 209-0408,35.5106201,-78.3124918,Sun:11:00AM -  7:00PM; ,,0
Las Americas Premium Outlets,1951,"4125 Camino de la Plaza, Ste 404",,San Diego,CA,92173,US,(619) 591-9110,32.5435362,-117.0411105,Sun:10:00AM -  7:00PM; ,,0
Suncrest Towne Centre,1952,1034 Suncrest Towne Centre,,Morgantown,WV,26505,US,(304) 598-2496,39.6524695,-79.9434101,Sun:12:00PM -  5:00PM; ,,0
Camp Hill Shopping Center,1953,112 South 32nd St,,Camp Hill,PA,17011,US,(717) 761-2067,40.2350962,-76.9347173,Sun:11:00AM -  6:00PM; ,,0
Deerfield Towne Center,1954,"5545 Deerfield Blvd, Suite 3040",,Mason,OH,45040,US,(513) 229-7342,39.3069455,-84.3172361,Sun:12:00PM -  6:00PM; ,,0
Aspen Place at the Sawmill,1955,"319 South Regent Street, Suite 207",,Flagstaff,AZ,86001,US,(928) 779-3230,35.1917428,-111.6427633,Sun:11:00AM -  6:00PM; ,,0
The Outlets at Bergen Town Center,1956,89 West Spring Valley Avenue.,,Maywood,NJ,07607,US,(201) 843-3602,40.9143993,-74.0610836,Sun:Closed; ,,0
Grand Prairie Premium Outlets,1957,"2950 W. Interstate 20, Suite 438",,Grand Prairie,TX,75052,US,(972) 606-6744,32.6794741,-97.0536472,Mon - Thu:9:00AM - 10:00PM; ,,0
The Village on Venetian Bay,1958,"4320 Gulfshore Blvd N, # 214",,Naples,FL,34103,US,(239) 261-0253,26.1972894,-81.8117284,Sun:12:00PM -  6:00PM; ,,0
The Galleria at Fort Lauderdale,1959,"2382 E Sunrise Boulevard, Spc 2017",,Fort Lauderdale,FL,33304,US,(954) 561-7527,26.1372028,-80.1140498,Sun:12:00PM -  6:00PM; ,,0
Bell Tower Shops,1960,"13499 US 41 SE, Suite #175",,Fort Myers,FL,33907,US,(239) 482-2831,26.5504059,-81.8702975,Sun:12:00PM -  5:00PM; ,,0
The Boardwalk Shopping Center,1961,6885 Orchard Lake Rd,,West Bloomfield,MI,48322,US,(248) 932-5715,42.5379933,-83.3596318,Mon - Wed:10:00AM -  7:00PM; ,,0
The Shops on Lane Avenue,1962,1655 W Lane Ave,,Upper Arlington,OH,43221,US,(614) 488-7237,40.0068075,-83.0547559,Sun:12:00PM -  6:00PM; ,,0
Belden Village Mall,1963,4230 Belden Village Mall,,Canton,OH,44718,US,(330) 588-6948,40.8540649,-81.460856,Sun:11:00AM -  6:00PM; ,,0
Paseo Colorado,1964,"300 E Colorado Blvd, Suite 150",Suite 150,Pasadena,CA,91101,US,(626) 639-1488,34.1456259,-118.1440236,Sun:11:00AM -  6:00PM; ,,0
Downtown Summerlin,1965,"2010 Festival Plaza Driv, Suite 120",,Las Vegas,NV,89135,US,(702) 266-8287,36.1486385,-115.3334388,Sun:11:00AM -  7:00PM; ,,0
Manhattan Village,1966,"3200 N Sepulveda Boulevard, Ste A-6",,Manhattan Beach,CA,90266,US,(310) 546-6768,33.8995437,-118.394016,Mon - Fri:10:00AM -  8:00PM; ,,0
North East Mall,1967,"1101 Melbourne Road, Ste 3078",,Hurst,TX,76053,US,(817) 284-3119,32.8298826,-97.2003446,Sun:12:00PM -  6:00PM; ,,0
International Plaza and Bay Street,1968,"2223 N West Shore Boulev, Suite 219",,Tampa,FL,33607,US,(813) 348-1891,27.964536,-82.520756,Sun:11:00AM -  6:00PM; ,,0
181 East Ridgewood Avenue,1969,181 East Ridgewood Ave,,Ridgewood,NJ,07450,US,(201) 444-9400,40.9792885,-74.1157035,Sun:Closed; ,,0
Westfield UTC,1970,"4545 La Jolla Village Driv, Ste C-5",,San Diego,CA,92122,US,(858) 457-3180,32.8715162,-117.2110432,Sun:12:00PM -  6:00PM; ,,0
Stony Brook Village Center,1971,139 Main Street,,Stony Brook,NY,11790,US,(631) 689-6426,40.9190559,-73.1472265,Sun:11:00AM -  5:00PM; ,,0
Garden City Center,1972,64 Hillside Road,,Cranston,RI,02920,US,(401) 946-0450,41.7627986,-71.4578857,Sun:12:00PM -  6:00PM; ,,0
Kenwood Towne Centre,1974,7875 Montgomery Rd,,Cincinnati,OH,45236,US,(513) 792-9750,39.2027663,-84.3774247,Sun:12:00PM -  6:00PM; ,,0
Paramus Park,1975,1073-B Paramus Park Mall,,Paramus,NJ,07652,US,(201) 262-1844,40.9558075,-74.0684573,Sun:Closed; ,,0
Northbrook Court,1976,2184 Northbrook Court,,Northbrook,IL,60062,US,(847) 272-9881,42.1508911,-87.8175099,Sun:11:00AM -  6:00PM; ,,0
Barracks Road Shopping Center,1977,"1123 Emmet Street, #23",,Charlottesville,VA,22903,US,(434) 295-4085,38.0517371,-78.5002884,Sun:11:00AM -  5:00PM; ,,0
The Grove at Shrewsbury,1978,"577 Route 35, Unit N16",,Shrewsbury,NJ,07702,US,(732) 758-0047,40.3327172,-74.0610421,Mon - Fri:10:00AM -  6:00PM; ,,0
Baybrook Mall,1979,"700 Baybrook Mall, Suite F129",,Friendswood,TX,77546,US,(281) 286-5490,29.5439222,-95.1515715,Sun:12:00PM -  6:00PM; ,,0
Hill Country Galleria,1980,"12700 Hill Country Boule, Ste T-128",,Bee Cave,TX,78738,US,(512) 263-1777,30.306098,-97.9523768,Sun:12:00PM -  6:00PM; ,,0
Stone Ridge Shopping Center,1981,921 West Central Entrance,,Duluth,MN,55811,US,(218) 727-9909,46.8037007,-92.1504142,Mon - Fri:10:00AM -  6:00PM; ,,0
Uptown Gig Harbor,1982,"4735 Point Fosdick Dr. NW, Ste100",,Gig Harbor,WA,98335,US,(253) 858-3040,47.3010013,-122.5774616,Sun:11:00AM -  6:00PM; ,,0
Freehold Raceway Mall,1983,"3710 Route 9, Suite 2704",,Freehold,NJ,07728,US,(732) 462-9095,40.2531111,-74.3000294,Sun:11:00AM -  7:00PM; ,,0
2188 Fourth St,1984,2188 Fourth St,,White Bear Lake,MN,55110,US,(651) 407-2579,45.0852047,-93.008046,Mon - Fri:10:00AM -  6:00PM; ,,0
Riverside Plaza,1985,"3639 Riverside Plaza Drive, Ste 500",,Riverside,CA,92506,US,(951) 683-4867,33.9555498,-117.3915698,Sun:11:00AM -  6:00PM; ,,0
Crossroads Center,1986,"4101 W Division St, Sce B20",,Saint Cloud,MN,56301,US,(320) 229-9300,45.55603,-94.2101183,Sun:11:00AM -  6:00PM; ,,0
Periwinkle Place,1987,"2075 Periwinkle Way, Ste 4",,Sanibel Island,FL,33957,US,(239) 472-0202,26.4483556,-82.09518,Sun:11:00AM -  6:00PM; ,,0
Reston Town Center,1988,11910 Market Street,,Reston,VA,20190,US,(703) 707-1919,38.9589472,-77.3565192,Sun:11:00AM -  6:00PM; ,,0
8 Jobs Lane,1989,8 Jobs Lane,,Southampton,NY,11968,US,(631) 287-9081,40.8838409,-72.389795,Sun:11:00AM -  6:00PM; ,,0
Congressional Plaza,1990,"1603 Rockville Pike, Ste 30A",,Rockville,MD,20852,US,(301) 468-1811,39.0632141,-77.1268682,Sun:11:00AM -  6:00PM; ,,0
Corona del Mar Plaza,1991,956 Avocado Ave,,Newport Beach,CA,92660,US,(949) 219-9960,33.6067584,-117.8743586,Sun:11:00AM -  6:00PM; ,,0
Hamilton Town Center,1992,"13185 Harrell Parkway, Ste 100",,Noblesville,IN,46060,US,(317) 770-3949,39.9925047,-85.9306213,Sun:11:00AM -  6:00PM; ,,0
The Shoppes at Hamilton,1993,"549 Route 130, Suite 434",,Hamilton,NJ,08691,US,(609) 581-1962,40.1855347,-74.6547998,Sun:11:00AM -  6:00PM; ,,0
Fashion Outlets of Niagara Falls,1994,"1902 Military Rd., Spc 45",,Niagara Falls,NY,14304,US,(716) 297-3514,43.0984354,-78.9784952,Sun:10:00AM -  6:00PM; ,,0
The Promenade at Coconut Creek,1995,"4467 Lyons Rd, Ste H1-105",,Coconut Creek,FL,33073,US,(954) 974-7526,26.2845172,-80.1880887,Sun:12:00PM -  6:00PM; ,,0
Westfield Santa Anita,1996,"400 South Baldwin Ave, Ste 2115",,Arcadia,CA,91007,US,(626) 447-0371,34.1349204,-118.0509968,Sun:11:00AM -  7:00PM; ,,0
The Promenade Shops at Clifton,1997,"850 Route 3, Ste 200",,Clifton,NJ,07012,US,(973) 365-2202,40.8380478,-74.1562544,Sun:11:00AM -  6:00PM; ,,0
The Mall at Millenia,1998,"4200 Conroy Road, Ste 205",,Orlando,FL,32839,US,(407) 264-5777,28.4855897,-81.4316837,Sun:11:00AM -  7:00PM; ,,0
The Orchard Town Center,1999,"14647 Delaware St, Suite 400",,Westminster,CO,80023,US,(303) 920-0595,39.9619323,-104.9922136,Mon - Thu:10:00AM -  9:00PM; ,,0
Hillside Village,2000,"305 West FM 1382, Spc 301",,Cedar Hill,TX,75104,US,(972) 293-7476,32.6023238,-96.9424976,Sun:11:00AM -  6:00PM; ,,0
The Mall at Partridge Creek,2001,"17370 Hall Road, Ste 126",,Clinton Township,MI,48038,US,(586) 416-1423,42.6260738,-82.9464368,Sun:11:00AM -  6:00PM; ,,0
The Collection at Forsyth,2002,"410 Peachtree Parkway, Ste 4130",,Cumming,GA,30041,US,(770) 781-0836,34.1540934,-84.1782583,Sun:12:00PM -  6:00PM; ,,0
Deptford Mall,2003,"1750 Deptford Center Ro, Suite 1143",,Deptford,NJ,08096,US,(856) 629-2671,39.8315312,-75.0983168,Sun:11:00AM -  6:00PM; ,,0
Tanger Outlet Center Rehoboth Beach,2004,"35016 Midway Outlet Dr, Unit 324",,Rehoboth Beach,DE,19971,US,(302) 644-1121,38.7336894,-75.1399365,Sun:10:00AM -  7:00PM; ,,0
Colonial Promenade Beechwood,2005,"196 Alps Rd, Ste 38",,Athens,GA,30606,US,(706) 316-9919,33.9452428,-83.4097617,Sun:12:00PM -  6:00PM; ,,0
Battlefield Mall,2006,"2825 S Glenstone Ave, Sp F17",,Springfield,MO,65804,US,(417) 889-9970,37.1565149,-93.2483058,Sun:12:00PM -  6:00PM; ,,0
Chelsea Square Shopping Center,2007,1645 Manheim Pike,,Lancaster,PA,17601,US,(717) 569-9597,40.0834688,-76.3407753,Sun:12:00PM -  6:00PM; ,,0
Eastgate Shopping Center,2008,"1800 E Franklin St, Ste 5",,Chapel Hill,NC,27514,US,(919) 968-1763,35.9365293,-79.0246055,Sun:12:00PM -  6:00PM; ,,0
Northpark Mall,2009,"320 W Kimberly Rd, Spc 24A",,Davenport,IA,52806,US,(563) 386-1134,41.5636895,-90.5747185,Sun:12:00PM -  6:00PM; ,,0
The Outlets at Silverthorne,2010,125-D Stephens Way,,Silverthorne,CO,80498,US,(970) 468-1355,39.6272358,-106.0674984,Sun:10:00AM -  6:00PM; ,,0
Coconut Point,2011,"23160 Fashion Drive, Ste 113",,Estero,FL,33928,US,(239) 495-2403,26.4016165,-81.8076003,Sun:12:00PM -  6:00PM; ,,0
Smith Haven Mall,2012,"638 Smith Haven Mall, R-09",,Lake Grove,NY,11755,US,(631) 724-4319,40.8649763,-73.1301191,Sun:12:00PM -  6:00PM; ,,0
The Shops at Valley Square,2013,"1556 Main Street, Spc 702",,Warrington,PA,18976,US,(215) 491-3105,40.2319392,-75.1366161,Sun:11:00AM -  6:00PM; ,,0
Park West,2014,"9784 W. Northern Ave, Ste 1200",,Peoria,AZ,85345,US,(623) 877-8544,33.5531559,-112.269942,Mon - Thu:10:00AM -  9:00PM; ,,0
Washingtonian Center,2015,"20 Grand Corner Ave, Ste B",,Gaithersburg,MD,20878,US,(301) 948-1051,39.118273,-77.2018493,Sun:12:00PM -  6:00PM; ,,0
Loehmann's 5 Points Plaza,2016,18573 Main St,,Huntington Beach,CA,92648,US,(714) 841-0490,33.6927532,-117.9907533,Mon - Fri:10:00AM -  8:00PM; ,,0
Bradley Fair Shopping Center,2017,2122 N Rock Rd,,Wichita,KS,67206,US,(316) 630-8501,37.7218266,-97.2440601,Sun:12:00PM -  6:00PM; ,,0
Derby Street Shoppes,2018,"98 Derby Street, Ste 409",,Hingham,MA,02043,US,(781) 740-0248,42.1775627,-70.9095583,Sun:11:00AM -  6:00PM; ,,0
Paseo Plaza Shopping Center,2019,"1700 S 10th Street, Ste 190",,McAllen,TX,78503,US,(956) 683-1016,26.1886158,-98.2330634,Sun:12:00PM -  6:00PM; ,,0
Centennial Place,2020,210 W Cleveland Road,,Granger,IN,46530,US,(574) 273-4465,41.7244698,-86.1754258,Mon - Fri:10:00AM -  7:00PM; ,,0
Pine Tree Shoppes,2021,12083 Perry Hwy,,Wexford,PA,15090,US,(724) 933-8990,40.6319751,-80.0599832,Sun:11:00AM -  5:00PM; ,,0
Spanish Springs Town Square,2022,992 Del Mar Dr,,The Villages,FL,32159,US,(352) 751-3276,28.939748,-81.949688,Sun:12:00PM -  6:00PM; ,,0
Jordan Creek Town Center,2023,"101 Jordan Creek Parkway, Ste 11370",,West Des Moines,IA,50266,US,(515) 440-2544,41.5702624,-93.8070392,Sun:11:00AM -  6:00PM; ,,0
Cornerstone Place,2024,"1460 Market St, Ste A",,Tallahasee,FL,32312,US,(850) 894-4030,30.507255,-84.2524226,Sun:12:00PM -  6:00PM; ,,0
Guadalupe Station,2025,328 S Guadalupe St,,Santa Fe,NM,87501,US,(505) 984-1132,35.684973,-105.945654,Sun:12:00PM -  6:00PM; ,,0
Plaza Mercado (Santa Fe),2026,"112 W San Francisco St, Ste 114",,Santa Fe,NM,87501,US,(505) 984-3134,35.6872302,-105.940159,Sun:11:00AM -  6:00PM; ,,0
St. Augustine Premium Outlets,2028,"2700 State Road 16, Ste 908",,Saint Augustine,FL,32092,US,(904) 823-3669,29.9250717,-81.4173774,Sun:10:00AM -  6:00PM; ,,0
The Mall at Green Hills,2029,"2126 Abbott Martin Rd, Ste 300",,Nashville,TN,37215,US,(615) 292-0902,36.107504,-86.814796,Sun:12:00PM -  6:00PM; ,,0
Boca Center,2030,"5250 Town Center Dr, Ste 137",,Boca Raton,FL,33486,US,(561) 392-7181,26.3623245,-80.1242025,Mon - Thu:10:00AM -  9:00PM; ,,0
Town Square Wheaton,2032,241 Town Sq,,Wheaton,IL,60187,US,(630) 653-4600,41.8341571,-88.1001085,Mon - Fri:10:00AM -  6:00PM; ,,0
130 Thames Street,2033,130 Thames Street,,Newport,RI,02840,US,(401) 849-8286,41.4897119,-71.3150705,Sun:11:00AM -  6:00PM; ,,0
Harbour Bay Plaza,2034,3730 SE Ocean Blvd,,Stuart,FL,34996,US,(772) 283-3447,27.2028698,-80.2020839,Sun:11:00AM -  5:00PM; ,,0
The Gardens Mall,2035,"3101 PGA Blvd, Ste A-123",,Palm Beach Gardens,FL,33410,US,(561) 627-1460,26.8473981,-80.0853836,Sun:12:00PM -  6:00PM; ,,0
The Outlets at Tejon Ranch,2036,5701 Outlets at Tejon Parkway.,,Tejon Ranch,CA,93203,US,(661) 282-2848,35.0626492,-118.8130675,Sun:10:00AM -  8:00PM; ,,0
The Shops at Nanuet,2037,1119 Fashion Drive,,Nanuet,NY,10954,US,(845) 501-4266,41.0970906,-74.0150578,Sun:12:00PM -  6:00PM; ,,0
Lake Forgetful Center,2038,"6156 Highway 98 West, Space 40",,Hattiesburg,MS,39402,US,(601) 329-2900,31.3199866,-89.3868624,Sun:12:00PM -  6:00PM; ,,0
The Collection at Riverpark,2039,621 Town Center Drive,,Oxnard,CA,93036,US,(805) 288-8271,34.2404843,-119.1786836,Sun:11:00AM -  6:00PM; ,,0
Dothan Pavilion,2040,"4825 Montgomery Highway, Suite 101",,Dothan,AL,36303,US,(334) 803-8685,31.2682429,-85.4479786,Sun:12:00PM -  6:00PM; ,,0
Pacific Place,2041,"600 Pine St, Ste 304",,Seattle,WA,98101,US,(206) 624-5549,47.6128769,-122.3352681,Sun:11:00AM -  7:00PM; ,,0
Water Tower Place,2042,"835 N Michigan Avenue, Ste 301",,Chicago,IL,60611,US,(312) 943-2442,41.8979718,-87.6236144,Sun:11:00AM -  6:00PM; ,,0
The Shops at Somerset Square,2043,"140 Glastonbury Boulevard, Ste 158",,Glastonbury,CT,06033,US,(860) 657-4737,41.7205122,-72.6212357,Mon - Fri:10:00AM -  7:30PM; ,,0
The Galleria of Mt. Lebanon,2044,"1500 Washington Road, 1503/1506",,Pittsburgh,PA,15228,US,(412) 571-0122,40.3569591,-80.0518073,Sun:11:00AM -  5:00PM; ,,0
SouthPark (NC),2045,"4400 Sharon Road, Rm N07",,Charlotte,NC,28211,US,(704) 365-1005,35.1523851,-80.8321252,Sun:12:30PM -  6:00PM; ,,0
Vacaville Premium Outlets,2046,"131 Nut Tree Road, Bldg6 Sp61",,Vacaville,CA,95687,US,(707) 447-9030,38.3565773,-121.9877444,Mon - Thu:9:00AM -  9:00PM; ,,0
Tanger Outlet Center S. Hou/Galvest,2047,"5885 Gulf Freeway, Suite 815",,Texas City,TX,77591,US,(281) 337-3493,29.4246973,-95.0583635,Sun:10:00AM -  7:00PM; ,,0
Stonebriar Centre,2048,"2601 Preston Rd, Ste 1049",,Frisco,TX,75034,US,(469) 633-1080,33.09838,-96.812388,Sun:12:00PM -  6:00PM; ,,0
