store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Westfield Topanga,,6600 Topanga Canyon Boulevard ,,Canoga Park ,CA,91303,United States,818.719.0281,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-7PM,,0
Lenox Square,,3393 Peachtree Road NE ,,Atlanta ,GA,30326,United States,404.816.4959,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM- 9PM; SUNDAY 12PM- 6PM,,0
Water Tower Place,,845 Michigan Avenue ,,Chicago ,IL,60611,United States,312.951.1928,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-6PM,,0
Oakbrook Center,,100 Oakbrook Center ,,Oak Brook ,IL,60523,United States,630.586.3679,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-6PM,,0
Old Orchard,,4999 Old ,,Orchard Center Skokie ,IL,60077,United States,847.763.1869,,,MONDAY 10AM-8PM; TUESDAY 10AM-8PM; WEDNESDAY 10AM-8PM; THURSDAY 10AM-8PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-6PM,,0
The Somerset Collection,,2800 W. Big Beaver Road ,,Troy ,MI,48084,United States,248.816.2021,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 12PM-6PM,,0
Mall of America,,156 South Avenue ,,Bloomington ,MN,55425,United States,952.854.9206,,,MONDAY 10AM-9:30PM; TUESDAY 10AM-9:30PM; WEDNESDAY 10AM-9:30PM; THURSDAY 10AM-9:30PM; FRIDAY 10AM-9:30PM; SATURDAY 9:30AM-9:30PM; SUNDAY 12PM-7PM,,0
Cherry Hill Mall,,2000 Route 38 ,,Cherry Hill ,NJ,08002,United States,856.665.5707,,,MONDAY 10AM-9:30PM; TUESDAY 10AM-9:30PM; WEDNESDAY 10AM-9:30PM; THURSDAY 10AM-9:30PM; FRIDAY 10AM-9:30PM; SATURDAY 10AM-9:30PM; SUNDAY 11AM-6PM,,0
The Mall at Short Hills,,1200 Morris Turnpike ,,Short Hills ,NJ,07078,United States,973.912.0681,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-8PM; SUNDAY 11AM-6PM,,0
Forum Shops at Caesars,,3500 Las Vegas Boulevard ,,South Las Vegas ,NV,89109,United States,702.836.9205,,,MONDAY 10AM-11PM; TUESDAY 10AM-11PM; WEDNESDAY 10AM-11PM; THURSDAY 10AM-12AM; FRIDAY 10AM-12AM; SATURDAY 10AM-11PM; SUNDAY 10AM-11PM,,0
Fashion Show Mall,,3200 Las Vegas Boulevard ,,South Las Vegas ,NV,89109,United States,702.836.9829,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-7PM,,0
Walt Whitman Shops,,160 Walt Whitman Road ,,Huntington Station ,NY,11746,United States,631.421.2053,,,MONDAY 10AM-9:30PM; TUESDAY 10AM-9:30PM; WEDNESDAY 10AM-9:30PM; THURSDAY 10AM-9:30PM; FRIDAY 10AM-9:30PM; SATURDAY 10AM-9:30PM; SUNDAY 11AM-7PM,,0
New York Flagship,,712 5th Avenue ,,New York ,NY,10019,United States,212.247.1100,,,MONDAY 10AM-8PM; TUESDAY 10AM-8PM; WEDNESDAY 10AM-8PM; THURSDAY 10AM-8PM; FRIDAY 10AM-8PM; SATURDAY 10AM-8PM; SUNDAY 12PM-7PM,,0
Easton Town Center,,4120 The Strand ,,East Columbus ,OH,43219,United States,614.478.9013,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-10PM; SATURDAY 10AM-9PM; SUNDAY 12PM-6PM,,0
King of Prussia,,160 North Gulph Road ,,King of Prussia ,PA,19406,United States,610.354.8971,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-6PM,,0
NorthPark Center,,8687 North Central Expressway # 214 ,,Dallas ,TX,75225,United States,214.265.7440,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 12PM-6PM,,0
The Houston Galleria,,5085 Westheimer Road ,,Houston ,TX,77056,United States,713.439.7462,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-7PM,,0
Fashion Centre at Pentagon City,,1100 South Hayes Street ,,Arlington ,VA,22202,United States,703.418.1208,,,MONDAY 10AM-9:30PM; TUESDAY 10AM-9:30PM; WEDNESDAY 10AM-9:30PM; THURSDAY 10AM-9:30PM; FRIDAY 10AM-9:30PM; SATURDAY 10AM-9:30PM; SUNDAY 11AM-6PM,,0
Tysons Galleria,,2001 International Drive ,,McLean ,VA,22102,United States,703.790.1042,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 12PM-6PM,,0
