store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"NORTH LIBERTY, IA",993,615 Westwood Drive PO 96,,NORTH LIBERTY,IA,52317,United States,(319) 626-6798,41.7395,-91.6081,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"IOWA CITY, IA",950,2530 Westwinds Drive,,IOWA CITY,IA,52246,United States,(319) 351-6082,41.6514,-91.5763,Monday - Saturday; (closed Sundays & holidays); 7:30am - 9:00pm,,0
"CEDAR RAPIDS, IA",151,3717 1st Avenue SE,,CEDAR RAPIDS,IA,52403,United States,(319) 363-1293,42.0166,-91.6347,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"INDEPENDENCE, IA",479,1400 3rd Avenue S.E.,,INDEPENDENCE,IA,50644,United States,(319) 334-3847,42.4558,-91.8889,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"ALGONA, IA",531,1905 Hwy 18 E,,ALGONA,IA,50511,United States,(515) 295-3831,43.0828,-94.2141,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"CLEAR LAKE, IA",705,910 Highway West 18,,CLEAR LAKE,IA,50428,United States,(641) 357-5773,43.1432,-93.4006,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"STORM LAKE, IA",461,731 Seneca Street,,STORM LAKE,IA,50588,United States,(712) 732-6203,42.6464,-95.1959,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"MARION, IA",949,3300 10th Avenue,,MARION,IA,52302,United States,(319) 373-4271,42.0368,-91.5765,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"SHENANDOAH, IA",938,1007 S. Fremont Street,,SHENANDOAH,IA,51601,United States,(712) 246-5160,40.7557,-95.3851,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"MASON CITY, IA",491,400 N. Delaware,,MASON CITY,IA,50401,United States,(641) 424-4415,43.1562,-93.2007,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"IOWA CITY, IA",034,2765 Commerce Drive,,IOWA CITY,IA,52240,United States,(319) 248-1995,41.6297,-91.4817,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"CHARLES CITY, IA",501,210 11th Street,,CHARLES CITY,IA,50616,United States,(641) 228-3523,43.0522,-92.6744,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"OELWEIN, IA",412,102 2nd Street S.E.,,OELWEIN,IA,50662,United States,(319) 283-2872,42.6754,-91.912,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"COUNCIL BLUFFS, IA",073,310 McKenzie Avenue,,COUNCIL BLUFFS,IA,51503,United States,(712) 328-4176,41.2798,-95.8193,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"EMMETSBURG, IA",849,2008 12th Street,,EMMETSBURG,IA,50536,United States,(712) 852-2455,43.1091,-94.6764,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"NEW HAMPTON, IA",922,102 S. Water Avenue,,NEW HAMPTON,IA,50659,United States,(641) 394-4652,43.058,-92.3124,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"ANAMOSA, IA",166,402 East Main Street,,ANAMOSA,IA,52205,United States,(319) 462-4425,42.1083,-91.2818,Monday - Saturday; (closed on Sundays & holidays); 8:00am - 9:00pm,,0
"MANCHESTER, IA",594,109 East Marion Street,,MANCHESTER,IA,52057,United States,(563) 927-5979,42.4821,-91.4578,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"CHEROKEE, IA",502,205 West Bluff Street,,CHEROKEE,IA,51012,United States,(712) 225-3965,42.7542,-95.5519,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"Omaha, NE",132,3070 North 90th Street,,OMAHA,NE,68134,United States,(402) 573-5669,41.2873,-96.0543,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"PAPILLION, NE",049,1325 Jersey Street,,PAPILLION,NE,68046,United States,(402) 331-6938,41.1754,-96.0267,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"OMAHA, NE",165-2,8900 W. Center Road Suite 106,,OMAHA,NE,68124,United States,(402) 393-7136,41.2351,-96.0518,"Monday - Friday 10:00am - 8:00pmSaturday 8:00am - 8:00pm",,0
"MUSCATINE, IA",998,2100 Cedar Plaza Drive,,MUSCATINE,IA,52761,United States,(563) 288-0541,41.4356,-91.0829,Monday - Saturday; (closed Sundays & holidays); 7:30am - 9:00pm,,0
"MONTICELLO, IA",840,433 North Farley Street,,MONTICELLO,IA,52310,United States,(319) 465-5027,42.2417,-91.1914,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"SPENCER, IA",788,104 East Eighth Street,,SPENCER,IA,51301,United States,(712) 262-8693,43.1455,-95.1428,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"NEBRASKA CITY, NE",118,1738 S 11th Street,,NEBRASKA CITY,NE,68410,United States,(402) 873-1332,40.6608,-95.861,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"Fort Madison, IA",177,1820 Avenue H,,FORT MADISON,IA,52627,United States,,40.6321,-91.3356,,,0
"OMAHA, NE",043,17070 Audrey Street,,OMAHA,NE,68136,United States,(402) 895-2989,41.1902,-96.1815,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"ESTHERVILLE, IA",407,1108 Central Avenue,,ESTHERVILLE,IA,51334,United States,(712) 362-5284,43.4015,-94.8301,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"BURLINGTON, IA",009,920 Lawrence Drive,,BURLINGTON,IA,52601,United States,(319) 758-6740,40.799,-91.139,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"DYERSVILLE, IA",008,1207 12th Avenue S.E.,,DYERSVILLE,IA,52040,United States,(563) 875-6053,42.4746,-91.1119,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"CRESCO, IA",815,112 South Elm Street,,CRESCO,IA,52136,United States,(563) 547-5252,43.372,-92.1175,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"SPIRIT LAKE, IA",850,1906 Keokuk,,SPIRIT LAKE,IA,51360,United States,(712) 336-5802,43.4212,-95.1069,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"FAIRMONT, MN",102,500 South State Street,,FAIRMONT,MN,56031,United States,(507) 238-4737,43.6489,-94.4481,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"DECORAH, IA",589,103 E. Main,,DECORAH,IA,52101,United States,(563) 382-3346,43.3028,-91.7856,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"Sergeant Bluff, IA",014,700 1st Street,,SERGEANT BLUFF,IA,51054,United States,(712) 943-9325,42.4001,-96.3528,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"SIOUX CITY, IA",829,4267 Sergeant Road,,SIOUX CITY,IA,51106,United States,(712) 276-1873,42.4504,-96.3541,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"Peosta, IA",168,8400 NICC Drive,,PEOSTA,IA,52068,United States,(563) 557-4475,42.4451,-90.8465,Monday - Saturday; (Closed on Sundays & Holidays); 7:00AM - 9:00PM,,0
"MAQUOKETA, IA",639,110 West Gate Drive,,MAQUOKETA,IA,52060,United States,(563) 652-4992,42.0671,-90.681,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"LE MARS, IA",719,115 Plymouth Street N.E.,,LE MARS,IA,51031,United States,(712) 546-7600,42.7931,-96.165,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"DAVENPORT, IA",987,1635 West 53rd Street,,DAVENPORT,IA,52806,United States,(563) 388-9135,41.5738,-90.5985,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"SIOUX CITY, IA",019,4016 Indian Hills Drive,,SIOUX CITY,IA,51104,United States,(712) 239-0528,42.5408,-96.3749,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"SHELDON, IA",021,2603 Park Street,,SHELDON,IA,51201,United States,(712) 324-2711,43.1869,-95.8206,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"WAUKON, IA",062,777 11TH Avenue SW,,WAUKON,IA,52172,United States,(563) 568-5017,43.2567,-91.4862,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"ORANGE CITY, IA",058,512 8th S.E.,,ORANGE CITY,IA,51041,United States,(712) 707-9350,42.9971,-96.053,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"SIOUX CITY, IA",022,4040 War Eagle Drive,,SIOUX CITY,IA,51109,United States,(712) 252-0388,42.4946,-96.462,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"MOLINE, IL",988,3705 25th Street,,MOLINE,IL,61265,United States,(309) 797-1468,41.4751,-90.5026,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"DUBUQUE, IA",114,2050 John F. Kennedy Rd,,DUBUQUE,IA,52002,United States,(563) 556-9997,42.5075,-90.7193,Monday - Saturday; (closed on Sundays & holidays); 7:00am - 9:00pm,,0
"BETTENDORF, IA",044,3800 Belmont Road,,BETTENDORF,IA,52722,United States,(563) 332-0655,41.5573,-90.4801,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"SIOUX CENTER, IA",912,115 1st Ave. N.W.,,SIOUX CENTER,IA,51250,United States,(712) 722-1360,43.0778,-96.1778,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"STEWARTVILLE, MN",089,2012 2nd Avenue NE,,STEWARTVILLE,MN,55976,United States,(507) 533-4195,43.8715,-92.4845,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"OWATONNA, MN",139,831 Oak Avenue South,,OWATONNA,MN,55060,United States,(507) 451-1550,44.0768,-93.2285,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"WORTHINGTON, MN",099,1028 Ryan's Road,,WORTHINGTON,MN,56187,United States,(507) 372-5191,43.6341,-95.6018,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"CLINTON, IA",025,1350 11th St. NW,,CLINTON,IA,52733,United States,(563) 242-1960,41.861,-90.2128,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"ROCHESTER, MN",134,3964  E. Frontage 52 Rd NW,,ROCHESTER,MN,55901,United States,(507) 289-1128,44.0674,-92.5032,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"GENESEO, IL",059,540 Pritchard Drive,,GENESEO,IL,61254,United States,(309) 944-6702,41.44,-90.1462,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"FARIBAULT, MN",126,430 NW 2nd Ave,,FARIBAULT,MN,55021,United States,(507) 334-1661,44.2955,-93.2724,Monday - Saturday; (closed Sundays & holidays); Floral Department: 507-334-2626,,0
"SIOUX FALLS, SD",164,3301 S. Sycamore Ave.,,SIOUX FALLS,SD,57103,United States,(605) 371-4352,43.5151,-96.6714,Monday - Saturday; (closed Sunday & holidays); 7:00am - 9:00pm,,0
"SIOUX FALLS, SD",136,1431 W 41st Street,,SIOUX FALLS,SD,57105,United States,(605) 336-5658,43.5131,-96.7429,Monday - Saturday; (closed on Sundays & holidays); 7:00am - 9:00pm,,0
