store_name	store_number	address	address2	city	state	zip_code	country	phone_number	latitude	longitude	store_hours	store_type	other_fields
Vaughan, Vaughan Mills		1 Bass Pro Mills Dr	Vaughan, ON L4K 5W4	Vaughan	Ontario	L4K 5W4	Canada	(905) 761-0473			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Toronto, Yorkdale		3401 Dufferin Street	Toronto, ON M6A 3A1	Toronto	Ontario	M6A 3A1	Canada	(416) 785-4400			Mo-Fr 10:00-21:00; Sa 09:30-21:00; Su 11:00-19:00	Store	
Toronto, Yonge & Eglinton		2300 Yonge St.	Toronto, ON M4R 1K8	Toronto	Ontario	M4R 1K8	Canada	(416) 481-1070			Mo-Fr 10:00-21:00; Sa 10:00-19:00; Su 12:00-18:00	Store	
Toronto, Fairview Toronto		1800 Sheppard Avenue East	Toronto, ON M2J 5A7	Toronto	Ontario	M2J 5A7	Canada	(416) 492-5500			Mo-Fr 10:00-21:00; Sa 09:30-21:00; Su 11:00-19:00	Store	
Toronto, Sherway Gardens		25 The West Mall	Toronto, ON M9C 1B8	Toronto	Ontario	M9C 1B8	Canada	(416) 621-6700			Mo-Fr 10:00-21:00; Sa 09:30-21:00; Su 11:00-18:00	Store	
Toronto, Eaton Centre		220 Yonge Street	Toronto, ON M5B 2H1	Toronto	Ontario	M5B 2H1	Canada	(416) 595-7227			Mo-Fr 10:00-21:30; Sa 09:30-21:30; Su 10:00-19:00	Store	
St. Catharines, Pen Centre Mall		221 Glendale Ave	St. Catharines, ON L2T 2K9	St. Catharines	Ontario	L2T 2K9	Canada	(905) 685-3700			Mo-Fr 10:00-21:00; Sa 09:00-18:00; Su 11:00-18:00	Store	
Toronto, Bloor Street		131 Bloor Street West	Toronto, ON M5S 2B4	Toronto	Ontario	M5S 2B4	Canada	(416) 513-1100			Mo-Fr 10:00-20:00; Sa 10:00-19:00; Su 11:00-18:00	Store	
Scarborough, Scarborough		300 Borough Drive	Scarborough, ON M1P 4P5	Scarborough	Ontario	M1P 4P5	Canada	(416) 290-6822			Mo-Fr 10:00-21:00; Sa 09:30-21:00; Su 11:00-19:00	Store	
Richmond Hill, Hillcrest Mall		9350 Yonge Street	Richmond Hill, ON L4C 5G2	Richmond Hill	Ontario	L4C 5G2	Canada	(905) 780-9433			Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00	Store	
Ottawa, Rideau Centre		50 Rideau Street	Ottawa, ON K1N 9J7	Ottawa	Ontario	K1N 9J7	Canada	(613) 567-1830			Mo-Fr 09:30-21:00; Sa 09:30-18:00; Su 11:00-17:00	Store	
Ottawa, Bayshore		100 Bayshore Dr	Ottawa, ON K2B 8C1	Ottawa	Ontario	K2B 8C1	Canada	(613) 596-5050			Mo-Sa 09:00-21:00; Su 10:00-18:00	Store	
Oshawa, Oshawa		419 King Street	Oshawa, ON L1J 2K5	Oshawa	Ontario	L1J 2K5	Canada	(905) 720-0276			Mo-Sa 09:30-21:00; Su 11:00-18:00	Store	
Oakville, Oakville Place		240 Leighland Avenue	Oakville, ON L6H 3H6	Oakville	Ontario	L6H 3H6	Canada	(905) 815-8280			Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:30-17:00	Store	
Newmarket, Upper Canada Mall		17600 Younge Street	Newmarket, ON L3Y 4Z1	Newmarket	Ontario	L3Y 4Z1	Canada	(905) 898-6767			Mo-Fr 09:30-21:00; Sa 09:30-18:00; Su 11:00-17:00	Store	
Mississauga, Square One		100 City Centre Drive	Mississauga, ON L5B 2B9	Mississauga	Ontario	L5B 2B9	Canada	(905) 279-4400			Mo-Fr 10:00-21:00; Sa 09:30-21:00; Su 11:00-19:00	Store	
Markham, MARKVILLE		5000 Highway 7 East	Markham, ON L3R 4M9	Markham	Ontario	L3R 4M9	Canada	(905) 940-1551			Tu 10:00-18:00; We-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00	Store	
London, Masonville Place		1680 Richmond Street North	London, ON N6G 3Y9	London	Ontario	N6G 3Y9	Canada	(519) 673-5507			Mo-Sa 10:00-21:00; Su 00:00-17:00	Store	
Burlington, Mapleview Shopping Center		900 Maple Ave	Burlington, ON L7S 2J8	Burlington	Ontario	L7S 2J8	Canada	(905) 631-0505			Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00	Store	
Kitchener, Kitchener		2960 Kingsway Drive	Kitchener, ON N2C 1X1	Kitchener	Ontario	N2C 1X1	Canada	(519) 893-7773			Mo-Fr 09:30-21:00; Sa 09:30-18:00; Su 12:00-17:00	Store	
Kingston, CATARAQUI		945 Gardiners Rd	Kingston, ON K7M 7H4	Kingston	Ontario	K7M 7H4	Canada	(613) 384-3232			Mo-Fr 09:30-21:00; Sa 09:30-18:00; Su 11:00-17:00	Store	
Hamilton, Lime Ridge Mall		999 Upper Wentworth St	Hamilton, ON L9A 4X5	Hamilton	Ontario	L9A 4X5	Canada	(905) 389-3861			Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-17:00	Store	
London, White Oaks		1105 Wellington Road	London, ON N6E 1V4	London	Ontario	N6E 1V4	Canada	(519) 685-1115			Mo-Sa 09:30-21:00; Su 12:00-17:00	Store	
Brampton, Bramalea City Centre		25 Peel Centre Drive	Brampton, ON L6T 3R5	Brampton	Ontario	L6T 3R5	Canada				Mo-Fr 10:00-21:00; Sa 09:30-21:00; Su 11:00-19:00	Store	
Halifax, Halifax		7001 Mumford Road	Halifax, NS B3L 4N9	Halifax	Nova Scotia	B3L 4N9	Canada	(902) 484-2121			Mo-Sa 09:30-21:00; Su 12:00-17:00	Store	
Dartmouth, Mic Mac Mall		21 Micmac Blvd	Dartmouth, NS B3A 4K7	Dartmouth	Nova Scotia	B3A 4K7	Canada	(902) 468-7400			Mo-Sa 09:30-21:00; Su 12:00-17:00	Store	
St. John'S, Avalon		48 Kenmount Road	St. John'S, NL A1B 1W3	St. John'S	Newfoundland and Labrador	A1B 1W3	Canada	(709) 722-0245			Mo-Sa 09:30-21:30; Su 12:00-17:00	Store	
Barrie, Georgian		509 Bayfield Street	Barrie, ON L4M 4Z8	Barrie	Ontario	L4M 4Z8	Canada	(705) 722-0333			Mo-Fr 09:30-21:00; Sa 09:30-18:00; Su 11:00-17:00	Store	
Dieppe, Moncton		477 Paul St	Dieppe, NB E1A 4X5	Dieppe	New Brunswick	E1A 4X5	Canada	(506) 872-3000			Mo-Sa 10:00-21:00; Su 12:00-17:00	Store	
Winnipeg, St Vital		1225 St. Mary's Road	Winnipeg, MB R2M 5E5	Winnipeg	Manitoba	R2M 5E5	Canada	(204) 255-0005			Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00	Store	
West Vancouver, PARK ROYAL		769 Main Street	West Vancouver, BC V7T 0A5	West Vancouver	British Columbia	V7T 0A5	Canada	(604) 926-1787			Mo-Tu 10:00-19:00; We-Fr 10:00-21:00; Sa 09:30-19:00; Su 11:00-18:00	Store	
Winnipeg, Polo Park Shopping Centre		1485 Portage Ave	Winnipeg, MB R3G 0W4	Winnipeg	Manitoba	R3G 0W4	Canada	(204) 775-5560			Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00	Store	
Vancouver, Pacific Centre		701 W Georgia Street	Vancouver, BC V7Y 1E4	Vancouver	British Columbia	V7Y 1E4	Canada	(778) 331-3942			Mo-Tu 10:00-19:00; We-Fr 10:00-21:00; Sa 10:00-19:00; Su 11:00-18:00	Store	
Victoria, Mayfair Mall		3147 Douglas Street	Victoria, BC V8Z 6E3	Victoria	British Columbia	V8Z 6E3	Canada	(250) 294-7670			Mo-Tu 10:00-18:00; We-Fr 10:00-21:00; Sa 10:00-18:00; Su 11:00-18:00	Store	
Vancouver, Robson		1045 Robson Street	Vancouver, BC V6Z 2V7	Vancouver	British Columbia	V6Z 2V7	Canada	(604) 681-9704			Mo-Sa 10:00-21:00; Su 11:00-20:00	Store	
Surrey, GUILDFORD TOWN CENTRE		10355 152 Street	Surrey, BC V3R 7C1	Surrey	British Columbia	V3R 7C1	Canada	(604) 930-8872			Mo-Sa 10:00-21:00; Su 10:00-18:00	Store	
Richmond, Richmond Centre		6551 No. 3 Road	Richmond, BC V6Y 2B6	Richmond	British Columbia	V6Y 2B6	Canada	(778) 296-3800			Mo-Tu 09:30-19:00; We-Fr 09:30-21:00; Sa 09:30-19:00; Su 11:00-18:00	Store	
Nanaimo, Woodgrove Centre		6631 Island Highway North	Nanaimo, BC V9T 4T7	Nanaimo	British Columbia	V9T 4T7	Canada	(250) 390-3366			Mo-Tu 10:00-18:00; We-Fr 10:00-21:00; Sa 10:00-19:00; Su 11:00-18:00	Store	
Kelowna, Kelowna		2271 Harvey Ave	Kelowna, BC V1Y 6H2	Kelowna	British Columbia	V1Y 6H2	Canada	(250) 860-1126			Mo-Tu 10:00-18:00; We-Fr 10:00-21:00; Sa 09:00-18:00; Su 10:00-18:00	Store	
Burnaby, Metropolis		216-4820 Kingsway	Burnaby, BC V5H 4P1	Burnaby	British Columbia	V5H 4P1	Canada	(604) 678-2360			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Coquitlam, Coquitlam Center		2929 Barnet highway	Coquitlam, BC V3B 5R5	Coquitlam	British Columbia	V3B 5R5	Canada	(778) 284-2350			Mo-Tu 10:00-18:00; We-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00	Store	
Abbotsford, Highstreet		3122 Mt. Lehman Road	Abbotsford, BC V2T 0C5	Abbotsford	British Columbia	V2T 0C5	Canada	(778) 856-1599			Mo-We 10:00-19:00; Th-Fr 10:00-21:00; Sa-Su 10:00-18:00	Store	
Edmonton, South Edmonton Commons		9761 19 Avenue  AB  NW	Edmonton, AB T6N 1N5	Edmonton	Alberta	T6N 1N5	Canada				Mo-Fr 10:00-21:00; Sa 10:00-19:00; Su 11:00-18:00	Store	
Edmonton, West Edmonton Mall		8882 170th Street	Edmonton, AB T5T 4J2	Edmonton	Alberta	T5T 4J2	Canada	(780) 425-3788			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Edmonton, Southgate Centre		5015- 111 Street NW	Edmonton, AB T6H 4M6	Edmonton	Alberta	T6H 4M6	Canada	(780) 638-1642			Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-17:00	Store	
Edmonton, Kingsway Mall		109 St. & Princess Elizabeth Ave.	Edmonton, AB T5G 3A6	Edmonton	Alberta	T5G 3A6	Canada	(780) 477-7720			Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-17:00	Store	
Calgary, THE CORE		317 7 Ave SW	Calgary, AB T2P 2Y9	Calgary	Alberta	T2P 2Y9	Canada	(403) 263-4461			Mo-We 10:00-18:00; Th-Fr 10:00-20:00; Sa 10:00-18:00; Su 12:00-17:00	Store	
Red Deer, Bower Place		4900 Molly Banister Drive	Red Deer, AB T4R 1N9	Red Deer	Alberta	T4R 1N9	Canada	(403) 347-3775			Mo-Fr 09:30-21:00; Sa-Su 11:00-17:00	Store	
Calgary, Market Mall		3625 Shaganappi Trail NW	Calgary, AB T3A OE2	Calgary	Alberta	T3A OE2	Canada	(403) 286-0200			Mo-Fr 09:30-21:00; Sa 09:30-20:00; Su 11:00-18:00	Store	
Calgary, South Calgary		100 Anderson Road SE	Calgary, AB T2J 3V1	Calgary	Alberta	T2J 3V1	Canada	(403) 441-7300			Mo-Fr 09:30-21:00; Sa 09:30-20:00; Su 11:00-18:00	Store	
Pleasant Prairie, JCPenney at Shoppes of Prairie Ridge		10225 77th St	Pleasant Prairie, WI 53158-1142	Pleasant Prairie	Wisconsin	53158-1142	Sephora inside JCPenney	(262) 237-6193			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Menomonee Falls, JCPenney at Crossroads Shopping Center		N96W18515 County Line Rd	Menomonee Falls, WI 53051-7103	Menomonee Falls	Wisconsin	53051-7103	Sephora inside JCPenney	(262) 415-1237			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Calgary, Chinook Centre		6455 Macleod Trail SW	Calgary, AB T2H 0K8	Calgary	Alberta	T2H 0K8	Canada	(403) 355-3500			Mo-Sa 09:30-21:00; Su 11:00-19:00	Store	
Madison, JCPenney at West Town Mall		23 West Towne Mall	Madison, WI 53719-1087	Madison	Wisconsin	53719-1087	Sephora inside JCPenney	(608) 833-9011			Mo-Fr 10:00-21:00; Sa 09:00-21:00; Su 11:00-18:00	Store	
La Crosse, JCPenney at Valley View Mall		3700 STATE RD 16	La Crosse, WI 54601	La Crosse	Wisconsin	54601	Sephora inside JCPenney	(608) 781-8000			Mo-Fr 10:00-21:00; Sa 09:00-21:00; Su 11:00-18:00	Store	
Madison, JCPenney at East Towne Mall		135 E Towne Mall	Madison, WI 53704	Madison	Wisconsin	53704	Sephora inside JCPenney	(608) 241-3414			Mo-Fr 10:00-21:00; Sa 09:30-21:00; Su 11:00-18:00	Store	
Greendale, JCPenney at Southridge Center		5350 S 76Th St	Greendale, WI 53129	Greendale	Wisconsin	53129	Sephora inside JCPenney	(414) 421-6900			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Eau Claire, JCPenney at Oakwood Mall		4770 Golf Rd	Eau Claire, WI 54701	Eau Claire	Wisconsin	54701	Sephora inside JCPenney	(715) 832-3414			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Brookfield, JCPenney at Brookfield Square Mall		95 N MOORLAND RD	Brookfield, WI 53005	Brookfield	Wisconsin	53005	Sephora inside JCPenney	(262) 782-2000			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Appleton, JCPenney at Fox River Mall		4301 W Wisconsin Ave	Appleton, WI 54913	Appleton	Wisconsin	54913	Sephora inside JCPenney	(920) 739-8871			Mo-Sa 10:00-21:00; Su 10:00-18:00	Store	
Vienna, JCPenney at Grand Central Mall		200 Grand Central Mall	Vienna, WV 26105	Vienna	West Virginia	26105	Sephora inside JCPenney	(304) 485-1661			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Ashwaubenon, JCPenney at The Village at Bay Park		800 WILLARD DRIVE	Ashwaubenon, WI 54304	Ashwaubenon	Wisconsin	54304	Sephora inside JCPenney	(920) 497-9364			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Triadelphia, JCPenney at Highlands		515 Cabela Dr	Triadelphia, WV 26059-1045	Triadelphia	West Virginia	26059-1045	Sephora inside JCPenney	(304) 547-9640			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Bridgeport, JCPenney at Meadowbrook Mall		2500 Meadowbrook Mall	Bridgeport, WV 26330	Bridgeport	West Virginia	26330	Sephora inside JCPenney	(304) 842-5451			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Mount Hope, JCPenney at Crossroads Mall		105 Crossroads Mall	Mount Hope, WV 25880	Mount Hope	West Virginia	25880	Sephora inside JCPenney	(304) 252-7300			Mo-Sa 10:00-21:00; Su 12:30-17:30	Store	
Charleston, JCPenney at Charleston Town Center		401 Lee St	Charleston, WV 25301-1595	Charleston	West Virginia	25301-1595	Sephora inside JCPenney	(304) 345-9075			Mo-Sa 10:00-21:00; Su 12:30-18:00	Store	
Barboursville, JCPenney at Huntington Mall		800 Mall Rd	Barboursville, WV 25504-1830	Barboursville	West Virginia	25504-1830	Sephora inside JCPenney	(304) 733-0088			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Vancouver, JCPenney at Vancouver Mall		8900 NE Vancouver Mall Dr	Vancouver, WA 98662-6499	Vancouver	Washington	98662-6499	Sephora inside JCPenney	(360) 254-3800			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Wenatchee, JCPenney at Valley North Shopping Center		1300 N Miller St	Wenatchee, WA 98801	Wenatchee	Washington	98801	Sephora inside JCPenney	(509) 663-2121			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Vancouver, JCPenney at Columbia Tech Center		19005 SE Mill Plain Blvd	Vancouver, WA 98683-9316	Vancouver	Washington	98683-9316	Sephora inside JCPenney	(360) 253-9550			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Spokane, JCPenney at Spokane Valley Mall		14730 E Indiana Ave	Spokane, WA 99216-1823	Spokane	Washington	99216-1823	Sephora inside JCPenney	(509) 922-0288			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Union Gap, JCPenney at Washington Plaza		1600 East Washington Ave	Union Gap, WA 98903	Union Gap	Washington	98903	Sephora inside JCPenney	(509) 249-6100			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Tacoma, JCPenney at Tacoma Mall		4502 S. Steele St.	Tacoma, WA 98409-7265	Tacoma	Washington	98409-7265	Sephora inside JCPenney	(253) 475-4510			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Spokane, JCPenney at Northtown Mall		4730 N Division St	Spokane, WA 99207-1426	Spokane	Washington	99207-1426	Sephora inside JCPenney	(509) 487-2223			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Seattle, JCPenney at Southcenter Mall		1249 Southcenter Mall	Seattle, WA 98188-2825	Seattle	Washington	98188-2825	Sephora inside JCPenney	(206) 246-0850			Mo-Sa 10:00-21:30; Su 11:00-19:00	Store	
Seattle, JCPenney at Northgate Mall		401 E. Northgate Way	Seattle, WA 98125-8514	Seattle	Washington	98125-8514	Sephora inside JCPenney	(206) 361-2500			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Puyallup, JCPenney at South Hill Mall		3700 S Meridian St	Puyallup, WA 98373-3779	Puyallup	Washington	98373-3779	Sephora inside JCPenney	(253) 845-6669			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Silverdale, JCPenney at Kitsap Mall		PO Box 1070	Silverdale, WA 98383-1070	Silverdale	Washington	98383-1070	Sephora inside JCPenney	(360) 692-1222			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Olympia, JCPenney at Capital Mall		625 BLACK LAKE BLVD	Olympia, WA 98502	Olympia	Washington	98502	Sephora inside JCPenney	(360) 754-8000			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Kennewick, JCPenney at Columbia Center		1321 N Columbia Center Blvd	Kennewick, WA 99336-7658	Kennewick	Washington	99336-7658	Sephora inside JCPenney	(509) 783-4111			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Lynnwood, JCPenney at Alderwood Mall		18601 33rd Ave W	Lynnwood, WA 98037-4783	Lynnwood	Washington	98037-4783	Sephora inside JCPenney	(425) 771-9555			Mo-Th 10:00-21:00; Fr-Sa 10:00-21:30; Su 11:00-18:00	Store	
Bellingham, JCPenney at Bellis Fair		10 Bellis Fair Pkwy	Bellingham, WA 98226	Bellingham	Washington	98226	Sephora inside JCPenney	(360) 734-7412			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Woodbridge, JCPenney at Potomac Mills Mall		2700 POTOMAC MILLS CIR	Woodbridge, VA 22192	Woodbridge	Virginia	22192	Sephora inside JCPenney	(703) 494-0089			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Winchester, JCPenney at Apple Blossom Mall		1850 Apple Blossom Dr	Winchester, VA 22601	Winchester	Virginia	22601	Sephora inside JCPenney	(540) 667-2334			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Virginia Beach, JCPenney at Lynnhaven Mall		701 LYNN HAVEN PKWY	Virginia Beach, VA 23452	Virginia Beach	Virginia	23452	Sephora inside JCPenney	(757) 463-4270			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Sterling, JCPenney at Dulles Town Center		21030 DULLES TOWN CIR	Sterling, VA 20166	Sterling	Virginia	20166	Sephora inside JCPenney	(703) 421-6572			Mo-Sa 10:00-21:30; Su 11:00-19:00	Store	
Roanoke, JCPenney at Valley View Mall		4832 Valley View Blvd Nw	Roanoke, VA 24012	Roanoke	Virginia	24012	Sephora inside JCPenney	(540) 362-1251			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Springfield, JCPenney at Springfield Mall		6699 Springfield Mall	Springfield, VA 22150-1702	Springfield	Virginia	22150-1702	Sephora inside JCPenney	(703) 971-8850			Mo-Th 10:00-21:30; Fr-Sa 10:00-22:00; Su 11:00-19:00	Store	
Richmond, JCPenney at Shops at White Oak Village		4541 S Laburnum Ave	Richmond, VA 23231-2421	Richmond	Virginia	23231-2421	Sephora inside JCPenney	(804) 222-2168			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Richmond, JCPenney at Chesterfield Mall		11500 Midlothian Turnpike	Richmond, VA 23235-4761	Richmond	Virginia	23235-4761	Sephora inside JCPenney	(804) 897-1288			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Hampton, JCPenney at Peninsula Town Center		2071 Coliseum Dr	Hampton, VA 23666-3219	Hampton	Virginia	23666-3219	Sephora inside JCPenney	(757) 896-1924			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Fairfax, JCPenney at Fair Oaks Mall		11801 Fair Oaks Mall	Fairfax, VA 22033-3398	Fairfax	Virginia	22033-3398	Sephora inside JCPenney	(703) 385-1500			Mo-Th 10:00-21:30; Fr-Sa 10:00-22:00; Su 11:00-19:00	Store	
Newport News, JCPenney at Patrick Henry Mall		12300 JEFFERSON AVE STE 500	Newport News, VA 23602	Newport News	Virginia	23602	Sephora inside JCPenney	(757) 249-1090			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
